21:23.479 | INFO     | __main__:download_cvm_zips:39 - ZIP inf_mensal_fii_2021.zip ja existe, pulando download
2026-05-02 11:21:45.874 | INFO     | __main__:main:88 - Processando ticker HSML11 ...
2026-05-02 11:21:45.877 | INFO     | src.fii_analysis.data.ingestion:load_prices_yfinance:143 - HSML11: buscando a partir de 2026-05-01
2026-05-02 11:21:46.140 | INFO     | src.fii_analysis.data.ingestion:load_prices_yfinance:184 - HSML11: 0 precos inseridos
2026-05-02 11:21:47.044 | INFO     | src.fii_analysis.data.ingestion:load_dividends_yfinance:223 - HSML11: 0 dividendos inseridos
2026-05-02 11:21:47.046 | INFO     | __main__:main:88 - Processando ticker KNCR11 ...
2026-05-02 11:21:47.049 | INFO     | src.fii_analysis.data.ingestion:load_prices_yfinance:143 - KNCR11: buscando a partir de 2026-05-01
2026-05-02 11:21:47.335 | INFO     | src.fii_analysis.data.ingestion:load_prices_yfinance:184 - KNCR11: 0 precos inseridos
2026-05-02 11:21:48.211 | INFO     | src.fii_analysis.data.ingestion:load_dividends_yfinance:223 - KNCR11: 0 dividendos inseridos
2026-05-02 11:21:48.213 | INFO     | __main__:main:88 - Processando ticker KNRI11 ...
2026-05-02 11:21:48.216 | INFO     | src.fii_analysis.data.ingestion:load_prices_yfinance:143 - KNRI11: buscando a partir de 2026-05-01
2026-05-02 11:21:48.492 | INFO     | src.fii_analysis.data.ingestion:load_prices_yfinance:184 - KNRI11: 0 precos inseridos
2026-05-02 11:21:49.302 | INFO     | src.fii_analysis.data.ingestion:load_dividends_yfinance:223 - KNRI11: 0 dividendos inseridos
2026-05-02 11:21:49.303 | INFO     | __main__:main:88 - Processando ticker KNSC11 ...
2026-05-02 11:21:49.305 | INFO     | src.fii_analysis.data.ingestion:load_prices_yfinance:143 - KNSC11: buscando a partir de 2026-05-01
2026-05-02 11:21:49.619 | INFO     | src.fii_analysis.data.ingestion:load_prices_yfinance:184 - KNSC11: 0 precos inseridos
2026-05-02 11:21:50.269 | INFO     | src.fii_analysis.data.ingestion:load_dividends_yfinance:223 - KNSC11: 0 dividendos inseridos
2026-05-02 11:21:50.270 | INFO     | __main__:main:88 - Processando ticker MCCI11 ...
2026-05-02 11:21:50.273 | INFO     | src.fii_analysis.data.ingestion:load_prices_yfinance:143 - MCCI11: buscando a partir de 2026-05-01
2026-05-02 11:21:50.541 | INFO     | src.fii_analysis.data.ingestion:load_prices_yfinance:184 - MCCI11: 0 precos inseridos
2026-05-02 11:21:51.267 | INFO     | src.fii_analysis.data.ingestion:load_dividends_yfinance:223 - MCCI11: 0 dividendos inseridos
2026-05-02 11:21:51.268 | INFO     | __main__:main:88 - Processando ticker PVBI11 ...
2026-05-02 11:21:51.272 | INFO     | src.fii_analysis.data.ingestion:load_prices_yfinance:143 - PVBI11: buscando a partir de 2026-05-01
2026-05-02 11:21:51.566 | INFO     | src.fii_analysis.data.ingestion:load_prices_yfinance:184 - PVBI11: 0 precos inseridos
2026-05-02 11:21:52.440 | INFO     | src.fii_analysis.data.ingestion:load_dividends_yfinance:223 - PVBI11: 0 dividendos inseridos
2026-05-02 11:21:52.441 | INFO     | __main__:main:88 - Processando ticker RBRR11 ...
2026-05-02 11:21:52.444 | INFO     | src.fii_analysis.data.ingestion:load_prices_yfinance:143 - RBRR11: buscando a partir de 2026-05-01
2026-05-02 11:21:52.701 | INFO     | src.fii_analysis.data.ingestion:load_prices_yfinance:184 - RBRR11: 0 precos inseridos
2026-05-02 11:21:53.945 | INFO     | src.fii_analysis.data.ingestion:load_dividends_yfinance:223 - RBRR11: 0 dividendos inseridos
2026-05-02 11:21:53.947 | INFO     | __main__:main:88 - Processando ticker RZTR11 ...
2026-05-02 11:21:53.948 | INFO     | src.fii_analysis.data.ingestion:load_prices_yfinance:143 - RZTR11: buscando a partir de 2026-05-01
2026-05-02 11:21:54.229 | INFO     | src.fii_analysis.data.ingestion:load_prices_yfinance:184 - RZTR11: 0 precos inseridos
2026-05-02 11:21:55.133 | INFO     | src.fii_analysis.data.ingestion:load_dividends_yfinance:223 - RZTR11: 0 dividendos inseridos
2026-05-02 11:21:55.136 | INFO     | __main__:main:88 - Processando ticker VGIR11 ...
2026-05-02 11:21:55.140 | INFO     | src.fii_analysis.data.ingestion:load_prices_yfinance:143 - VGIR11: buscando a partir de 2026-05-01
